iter	Passed	Remaining
0	123	123749
1	125	62433
2	126	41874
3	126	31570
4	127	25385
5	128	21254
6	129	18305
7	129	16105
8	130	14389
9	131	13037
10	132	11944
11	133	10998
12	134	10209
13	137	9704
14	139	9130
15	139	8609
16	142	8215
17	143	7809
18	144	7439
19	145	7109
20	145	6805
21	147	6558
22	149	6329
23	149	6096
24	150	5880
25	151	5688
26	154	5581
27	156	5431
28	157	5263
29	158	5108
30	159	4993
31	160	4864
32	161	4737
33	162	4620
34	163	4517
35	165	4428
36	166	4327
37	167	4234
38	168	4141
39	170	4089
40	171	4021
41	172	3944
42	173	3868
43	175	3807
44	176	3739
45	177	3670
46	177	3604
47	178	3542
48	179	3486
49	181	3442
50	182	3391
51	183	3341
52	186	3335
53	187	3288
54	188	3239
55	189	3197
56	190	3151
57	191	3106
58	192	3072
59	193	3038
60	194	3000
61	196	2965
62	197	2937
63	198	2904
64	200	2881
65	201	2845
66	202	2814
67	202	2777
68	203	2749
69	205	2725
70	207	2709
71	208	2684
72	209	2664
73	210	2638
74	211	2611
75	212	2583
76	213	2556
77	215	2547
78	216	2524
79	217	2500
80	218	2477
81	219	2456
82	221	2448
83	222	2427
84	223	2403
85	224	2386
86	225	2362
87	226	2350
88	228	2336
89	229	2317
90	230	2299
91	231	2285
92	232	2268
93	233	2251
94	234	2235
95	235	2217
96	237	2212
97	239	2201
98	240	2186
99	241	2171
100	243	2165
101	244	2152
102	245	2137
103	246	2120
104	246	2105
105	247	2090
106	249	2085
107	250	2071
108	251	2057
109	252	2044
110	254	2041
111	256	2030
112	257	2017
113	257	2004
114	258	1990
115	259	1975
116	260	1962
117	261	1951
118	262	1941
119	263	1928
120	263	1916
121	275	1986
122	277	1981
123	281	1991
124	284	1989
125	285	1977
126	286	1967
127	286	1953
128	288	1950
129	289	1940
130	290	1930
131	291	1919
132	293	1915
133	294	1904
134	295	1893
135	296	1884
136	297	1874
137	299	1868
138	300	1859
139	301	1850
140	302	1841
141	303	1836
142	305	1828
143	306	1819
144	306	1809
145	307	1800
146	308	1792
147	310	1788
148	311	1779
149	312	1771
150	313	1763
151	315	1761
152	316	1754
153	317	1746
154	318	1737
155	319	1730
156	321	1727
157	322	1719
158	323	1711
159	324	1703
160	327	1705
161	328	1699
162	329	1692
163	330	1684
164	331	1677
165	332	1670
166	333	1665
167	335	1659
168	335	1652
169	337	1645
170	338	1643
171	340	1638
172	341	1631
173	342	1625
174	343	1618
175	345	1618
176	346	1612
177	348	1607
178	349	1603
179	351	1602
180	352	1596
181	353	1589
182	354	1582
183	356	1581
184	357	1576
185	358	1570
186	360	1565
187	362	1563
188	363	1558
189	363	1551
190	364	1545
191	365	1539
192	366	1532
193	368	1529
194	369	1523
195	370	1517
196	370	1511
197	372	1507
198	373	1502
199	374	1496
200	375	1490
201	375	1485
202	376	1478
203	379	1481
204	380	1476
205	381	1470
206	382	1464
207	383	1460
208	385	1458
209	386	1453
210	387	1447
211	387	1441
212	388	1436
213	391	1437
214	392	1432
215	393	1427
216	394	1422
217	395	1418
218	396	1414
219	397	1409
220	398	1404
221	399	1398
222	400	1394
223	401	1391
224	402	1387
225	403	1381
226	404	1376
227	405	1373
228	406	1370
229	408	1366
230	409	1361
231	409	1356
232	410	1351
233	411	1346
234	412	1344
235	413	1339
236	414	1334
237	416	1332
238	417	1329
239	418	1324
240	419	1320
241	420	1317
242	421	1312
243	422	1307
